country_code	name	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100	include_code
72	Botswana	0	0.001	0.144	2.731	14.796	28.435	30.124	27.966	27.51	27.0075244	23.70586324	20.35703138	17.48127551	15.01176609	12.89111433	11.0700385	9.506218727	8.163313477	7.010115045	6.019824313	5.169427966	4.439163688	3.812060905	3.273546407	2.811105684	2.413992101	1
120	Cameroon	0	0.001	0.041	0.437	2.007	4.6	6.24	6.217	5.515	4.7669039	4.110994694	3.530251023	3.031546673	2.603292278	2.235535658	1.919730535	1.648537931	1.415655614	1.215671644	1.043938605	0.896465601	0.769825514	0.661075363	0.567687908	0.487492922	0.41862676	1
178	Congo	0	0	0.149	1.875	5.06	6.005	5.213	4.576	4.484	4.3684769	3.849147898	3.30539427	2.838454528	2.437477484	2.093144852	1.797454705	1.543535515	1.325486467	1.138240329	0.9774457	0.839365881	0.720792042	0.618968652	0.531529442	0.456442418	0.391962635	1
226	Equatorial Guinea	0	0.026	0.169	0.659	1.697	3.195	4.777	6.218	7.356	7.9434099	7.078591713	6.078627558	5.219924313	4.482526619	3.849298129	3.305523279	2.838565312	2.437572618	2.093226547	1.797524859	1.543595759	1.3255382	1.138284755	0.97748385	0.839398641	0.720820174	1
266	Gabon	0	0.015	0.087	0.532	1.981	4.186	5.576	6.081	6.284	6.3455378	5.60352143	4.811934515	4.132171898	3.548436609	3.047163254	2.616702768	2.247051702	1.929619754	1.657030139	1.422948162	1.221934004	1.049316306	0.901083616	0.773791161	0.664480799	0.570612271	1
404	Kenya	0	0.196	1.028	3.778	9.457	12.201	10.001	7.698	6.825	6.08854	5.236935916	4.497135061	3.861842895	3.316295896	2.847816125	2.445516606	2.10004832	1.803382948	1.548626299	1.329858096	1.141994396	0.980669445	0.84213422	0.723169309	0.621010092	0.533282497	1
426	Lesotho	0	0	0.01	0.456	6.427	20.567	26.65	26.543	28.053	28.5692302	25.11983594	21.57125784	18.52397309	15.90716598	13.66002468	11.73032799	10.07323177	8.650226873	7.428244145	6.378885999	5.477766453	4.703944438	4.039437144	3.46880212	2.978778409	2.557978375	1
454	Malawi	0.001	0.04	0.449	3.414	11.49	16.912	16.009	13.586	12.711	11.5284642	9.932721787	8.529566166	7.324628691	6.289907883	5.401357917	4.638329829	3.983091646	3.420416324	2.93722788	2.522297521	2.165982705	1.860003048	1.597247905	1.371611123	1.177849142	1.011459135	1
508	Mozambique	0	0.007	0.13	0.947	3.693	8.633	13.366	15.426	15.6	14.6527567	12.76939541	10.96551432	9.416460259	8.086234826	6.943924985	5.962984657	5.120617819	4.397248754	3.776067125	3.242637323	2.784563003	2.391198997	2.053403941	1.763327833	1.514229608	1.300320487	1
516	Namibia	0	0.004	0.09	0.94	5.577	13.73	16.664	15.658	15.199	14.2872825	12.4377228	10.68069577	9.171876876	7.876202753	6.763563297	5.808101938	4.987614759	4.283034501	3.677987459	3.158412977	2.712236691	2.329089932	2.000068774	1.71752711	1.474898969	1.266545929	1
140	Central African Republic	0	0	0.007	1.238	6.694	10.62	8.95	6.443	5.302	4.6349758	4.032440655	3.462793997	2.973619029	2.55354784	2.192818416	1.883047786	1.617037206	1.38860487	1.19244225	1.023990734	0.879335685	0.755115473	0.64844335	0.556840368	0.478177771	0.410627522	1
646	Rwanda	0	0.039	0.578	2.904	6.075	6.528	5.11	4.139	3.807	3.3911015	2.923955886	2.510900409	2.156195616	1.851598542	1.59003067	1.365413438	1.172526978	1.006888812	0.864649683	0.742504103	0.637613538	0.54754044	0.470191606	0.403769531	0.346730635	0.297749394	1
710	South Africa	0	0	0.001	0.209	2.949	11.259	17.771	20.955	22.914	23.3458049	20.60734283	17.69622647	15.19635179	13.04962435	11.20615645	9.623107843	8.263690138	7.096311899	6.093844485	5.232991606	4.493747949	3.858934266	3.313798158	2.845671232	2.443674713	2.098466624	1
748	Swaziland	0	0	0.001	0.342	7.871	24.56	30.007	31.878	35.24	34.5707477	30.13856619	25.88101228	22.22490586	19.08528288	16.3891818	14.07394807	12.08577808	10.37846886	8.912344348	7.653333341	6.57217775	5.643752657	4.846482439	4.161839375	3.573913081	3.069040768	1
834	United Republic of Tanzania	0	0.034	0.58	3.196	7.479	9.543	8.5	6.889	6.058	5.456686	4.713242324	4.047421555	3.475658606	2.984666306	2.563034513	2.200964945	1.890043488	1.623044653	1.393763669	1.196872286	1.027794956	0.882602501	0.757920798	0.650852378	0.558909083	0.479954247	1
800	Uganda	0.011	0.442	4.092	10.492	11.65	9.602	7.956	7.897	7.921	7.1473918	6.127215021	5.261648022	4.518356187	3.880066198	3.331944866	2.861254429	2.457056534	2.109958049	1.811892769	1.555933972	1.336133443	1.147383251	0.985297038	0.846108092	0.726581808	0.623940521	1
894	Zambia	0	0.048	0.856	5.327	13.849	18.534	17.224	15.328	15.017	14.06626	12.21951714	10.49331514	9.010966755	7.738023757	6.644904292	5.706205413	4.900112746	4.207893545	3.613461363	3.103002223	2.664653591	2.288228705	1.964979848	1.687395055	1.449023549	1.244325825	1
716	Zimbabwe	0	0.036	1.189	9.494	24.221	30.187	25.444	19.687	17.629	16.101631	13.87788018	11.91740791	10.23388367	8.788184124	7.546712732	6.480619005	5.565128047	4.778964811	4.103859691	3.524123954	3.02628515	2.59877403	2.231655684	1.91639867	1.645676744	1.413198616	1
24	Angola	0.000062	0.002863	0.023988	0.122266	0.403373	0.922441	1.56132	2.111888	2.467984	2.527551461	2.220277535	1.906627866	1.637286223	1.40599339	1.207374364	1.036813448	0.890346986	0.764571251	0.656563349	0.563813288	0.484165654	0.415769521	0.357035435	0.306598476	0.263286544	0.226093114	1
44	Bahamas	0	0.012049	0.467477	1.099814	1.770497	2.315859	2.427174	2.368176	2.1105	1.695313274	1.428020179	1.226289517	1.053056533	0.904295476	0.776549295	0.666849302	0.572646186	0.491750764	0.422283113	0.362628878	0.311401756	0.267411284	0.229635168	0.197195532	0.169338513	0.145416743	1
84	Belize	0	0	0	0	0.195228	0.688553	1.103884	1.378976	1.625599	1.756633884	1.574606978	1.352168589	1.161153176	0.997121741	0.856262367	0.73530163	0.631428528	0.542229162	0.465630631	0.399852866	0.343367262	0.294861151	0.253207303	0.217437727	0.186721174	0.160343826	1
204	Benin	0	0	0	0.056763	0.496233	1.247002	1.510345	1.329518	1.27141	1.222782949	1.067837418	0.916988325	0.787449076	0.676209315	0.580683947	0.498653063	0.428210353	0.3677188	0.315772645	0.271164715	0.232858367	0.199963403	0.171715378	0.147457838	0.126627063	0.108738967	1
854	Burkina Faso	0	0.02653	0.386334	1.928027	3.314966	3.09797	2.080194	1.361313	1.080677	0.948243137	0.818288693	0.702692344	0.603425825	0.518182288	0.444980762	0.382120121	0.32813955	0.281784597	0.241978021	0.20779476	0.178440431	0.15323287	0.131586279	0.112997615	0.097034897	0.083327168	1
108	Burundi	0	0.019817	0.196311	1.176641	3.20185	4.328763	3.432217	2.194226	1.592457	1.369751541	1.179480163	1.012859749	0.86977713	0.746907216	0.64139464	0.550787402	0.472979883	0.406163919	0.348786777	0.299515073	0.257203785	0.220869641	0.189668276	0.162874602	0.139865963	0.120107661	1
148	Chad	0	0.010296	0.124452	0.633172	1.620416	2.410933	2.462414	2.064418	1.784516	1.550797626	1.335863798	1.147151697	0.985098195	0.845937339	0.726435176	0.623814603	0.535690826	0.460015939	0.395031339	0.339226852	0.291305641	0.250154065	0.214815808	0.184469643	0.158410359	0.136032366	1
